key,value
ui.menu.start,开始
ui.menu.settings,设置
ui.menu.quit,退出
ui.settings.language,语言
ui.player.greeting,欢迎你 {name}！
ui.difficulty.title,难度选择
ui.difficulty.select,选择
ui.difficulty.confirm,确认难度
ui.difficulty.1.desc,第 1 / 10 难度，整体压力较低。
ui.menu.confirm_overwrite.title,覆盖存档
ui.menu.confirm_overwrite.body,检测到已有自动存档，是否开始新一局？
ui.menu.new_run,新游戏
ui.menu.continue,继续
ui.menu.confirm,确认
ui.menu.cancel,取消
ui.character.select.title,角色选择
ui.character.warrior,战士
ui.character.mage,法师
ui.character.rogue,游侠
ui.character.selected,已选择
ui.character.not_open,尚未开放
ui.character.warrior.summary.rage_buff,怒气会持续积累并提升战斗压制力。
ui.character.warrior.summary.power_window,重击有短暂的爆发窗口，需要精准时机。
ui.character.warrior.summary.cost_burst,消耗怒气换取高额爆发伤害。
combat.feedback.accepted,命令'{0}'已接受。
combat.feedback.refused,命令'{0}'被拒绝。
combat.feedback.refusal_reason.insufficient_energy,能量不足
combat.feedback.refusal_reason.invalid_action,无效操作
combat.feedback.refusal_reason.invalid_target,无效目标
combat.feedback.refusal_reason.missing_card_definition,缺少卡牌定义
combat.feedback.refusal_reason.no_card_selected,请先选择一张手牌。
combat.action.hint,选择一张手牌，然后点击“打出选中卡牌”；没有合适操作时点击“结束回合”。
combat.action.play_selected,打出选中卡牌
combat.hand.title,手牌
combat.enemy.title,敌人
combat.enemy.status.none,无
combat.intent.attack_6,攻击 6
event.abyss_toll.title,深渊代价
event.abyss_toll.description,付出代价后才能继续前行。
event.option.lose_hp,流血换取速度
event.option.take_curse,加入一张诅咒牌
event.preview.hp_loss,生命值 -3
event.preview.take_curse,牌堆 +1（诅咒）
event.feedback.chosen_option,已选项：{0}
event.feedback.summary.lose_hp,失去 3 点生命值后继续前进。
event.feedback.summary.take_curse,加入一张诅咒牌后继续前进。
event.feedback.summary.default,选择已提交。
event.feedback.numeric.hp_loss,生命值 -3\n诅咒牌 +0
event.feedback.numeric.take_curse,生命值 +0\n诅咒牌 +1
event.feedback.numeric.default,生命值 0\n诅咒牌 0
event.feedback.blocked.already_committed,该选择已提交。
event.feedback.blocked.invalid_option,该选项不可用。
event.feedback.blocked.persist_failed,状态持久化失败。
card.warrior.cleave.name,顺劈
card.warrior.guard.name,格挡
card.warrior.rage_surge.name,怒潮
card.warrior.bloodrush.name,血袭
card.warrior.taunt.name,嘲讽
card.warrior.shield_wall.name,盾墙
card.warrior.overpower.name,压制
card.warrior.battlecry.name,战合
card.warrior.crush.name,粉碎
card.warrior.relentless.name,不屈
relic.name.ashen_hourglass,灰烬沙漏
relic.name.obsidian_mirror,黑曜镜
relic.name.blood_oath,血誓
relic.name.rusted_compass,锈蚀罗盘
relic.name.twilight_coin,薄暮硬币
relic.name.embershard,余烬碎片
